date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2024-01-11 | 1
2012-01-11 | 1
2024-01-11 |                    1
2012-01-11 | 1         
2012-01-11|1
2012-01-11	|	1
2009-01-02 | 1
2022-03-29 | 1
2022-03-30 | 1

2012-01-11 | 1001
2012-01-11 | 2147483648
2012-01-11 | 4294967306
2012-01-11 | -1
2012-01-11 | -4294967286
2012-01-1 |
2001-1-1 | 1
1-1-1 | 1
2022-01-11 | idk
idk | 1
2022 | 1
2022-1 | 1
2022-1- | 1
2022-1-2-3 | 1
2022-1-1- | 1
2022-1-1 blah blah blah | 1
2022-1-1 | 1 blah blah blah
2022-1-x | 3
2022-x-1 | 3
x-1-1 | 3
2022-01-99999 | 1
2022-99999-01 | 1
99999-01-01 | 1
2011-42-42 | 1
2012-02-31 | 1
2022.1.1 | 3
2012-01-11 , 1
2012-01-11 || 1
2012-01-11 | 1 | helo
